index,name,year,composer,type
3244,Crausaz and Orton/Dime Rag.mid,1995,"Sanderson, Ana (maybe Marks, Anthony)",Y
3263,Crausaz and Orton/Dingy's Serenade  The.mid,1898,"Mullendore, Roy",R
3399,Crausaz and Orton/Doherty Rag.mid,1912,"Stephenson, Harry",R
3662,Crausaz and Orton/Dutch Rag.mid,n/a,"Courant, Siegfried",R
3870,Crausaz and Orton/Eskimo Shivers.mid,1921,"Hersom, Frank E.",F
3997,Crausaz and Orton/Excelsior Shoe Step  The.mid,n/a,unknown,R
4053,Crausaz and Orton/Fantastic  The.mid,1902,"Bebee, Berthold P.",M
4255,Crausaz and Orton/Flipity Flop.mid,1901,"Dougherty, L. H.",M
4411,Crausaz and Orton/Foxy Sam.mid,1903,"Barth, John F.",R
4478,Crausaz and Orton/Frigid Frolics.mid,1905,"Marx, Alvin L.",R
4557,Crausaz and Orton/Fun On The Levee.mid,n/a,"Johnson, Charles L.",R
4900,Crausaz and Orton/Goldilocks.mid,1957,"Gordon, Thomas (Tom) Renton",R
